page_name,about,fan_count,talking_about_count,website,page_id,year,month,day
Mark Levin,THE OFFICIAL MARK LEVIN FACEBOOK PAGE,1300290,52976,"http://www.marklevinshow.com, www.twitter.com/marklevinshow, facebook.com/marklevinshow",16307558831,,,
JoeMyGod,Thanks for reading JoeMyGod.com! Feel free to post breaking news stories or commentary on today's issues!,27434,7368,,163121917034901,,,
Nevo News,"Donald J. Trump, 45th President of the United States of America!",245409,25659,http://nevo.news,1631398857174555,,,
Political Cartoons by cartoonist A.F.Branco,"This is A.F.Branco's ""Cartoons Only"" page, without all the other news and information post. If you would like the other stuff you can always go to Freedom's Battle Page.",21422,3873,www.comicallyincorrect.com www.afbrancoart.com ,163201283712008,,,
SubjectPolitics,Political Opinion WITHOUT Political Correctness!,734390,297639,http://www.SubjectPolitics.com,1633304150220472,,,
Make America Great,"We stand with Trump. He is the best person in this race to ""Make America Great Again"". We support Trump but this page is not run by Donald Trump!",485449,43378,http://makeamericagreattoday.com/,1636990459913102,,,
Opposition Report,"We're a news organization dedicated to holding our government accountable.
",1509696,149033,http://oppositionreport.com,1640832309490921,,,
Gone Left,Practical news and views for the evolving modern world.  Fighting the decay of yesterday and moving towards a compassionate future.,434121,84243,http://GoneLeft.com,1641262382839336,,,
Liberty Hangout,Liberty Hangout is a growing libertarian media outlet which brings readers relevant insight into current events & promotes Austrian economics & property rights.,73536,37536,http://libertyhangout.org,1642685862611663,2015,2,11
The Shark Tank,Welcome to Florida's Political Feeding Frenzy! Join the Shark-Tank for in-depth political analysis and exclusive interviews with top newsmakers. Join us on Twitter at @thesharktank1  or online at Shark-Tank.net,40184,225,http://www.shark-tank.com,164858597334,2009,10,29
The Real News Network,"The Real News is an independent, nonprofit, ad-free news network based in Baltimore, MD.",336372,16528,http://www.therealnews.com,16512617979,2007,,
Daily Political Newswire,This is a news site with a daily updated newswire jam packed with political information. ,526,2,http://dailypoliticalnewswire.com,1660184174273654,,,
GotNews,"Got News seeks to transform journalism by empowering everyday people, experts, and sources to break news and get rewarded for their effort.",4194,169,http://gotnews.com,1665532373663056,,,
Freedom Force,http://freedomforce.com/,47,1,http://freedomforce.com/,1671569903078574,,,
Newstarget.com,"Newstarget.com aims to bring you the raw and gritty news for liberty-loving individuals.
""Where Liberty dwells, there is my Country.""",87511,6213,http://newstarget.com,1671971886350240,,,
New Century Times,The New Century Times is committed to helping find out about what's going on in the world; we share the news that you're interested in.  ,1597824,176994,http://newcenturytimes.com,1672814509645693,,,
SourcePlanet.net,For The People By The People,5808,1,http://sourceplanet.net,1676688675937974,,,
The Republican News,Our goal is to bring uncensored news to the public as they break. Also to uphold the great values of a republican democracy in every facet of our society. ,3825,3444,http://www.therepublicannews.wordpress.com,1690703604505977,,,
Fury News,,30076,64,http://fury.news,1691686751091484,,,
Conservative News Today,"Website: http://www.bizpacreview.com/
Twitter: https://twitter.com/BIZPACReview
Google+: https://plus.google.com/+BizpacReview",2951286,113987,www.bizpacreview.com,169204449790211,,,
Proud Democrat,"This page supports the Democratic Party, a major contemporary political party in the United States. We welcome everyone and oppose discrimination based on race, color, belief, gender, sexual orientation, age, physical capacity, and national origin.
",1194014,306164,,1695168340767186,,,
AlterNet,AlterNet is an online community that publishes original journalism and amplifies the best of hundreds of other independent media sources.,967414,583307,http://www.AlterNet.org,17108852506,1998,,
Tea Party Tribune,Online Tea Party resource and political news reporting.,39126,193,http://teapartytribune.com,171190156249770,,,
About 2DAY,Conservative Blog ,1132411,158410,conservativepoliticus.com,1716514921967079,,,
Read Conservatives,"Politics,Republicans and Read Conservatives",46425,2030,http://www.readconservatives.news,1722398264701093,2016,,
CounterPunch,We run stories that the corporate press never print. ,114613,12671,http://www.CounterPunch.org,172470146144666,1994,,
Tea Party,"We bring national awareness to any issue which challenges the security, sovereignty or domestic tranquility of our Beloved Nation, the United States of America.",435410,16992,http://www.teaparty.org,172526489431467,2004,,
Conservative Media,"Real conservative news.

",2457550,534244,conservativemedia.com,1726840707573399,,,
Patriot Rising,"Freedom · Liberty · Awareness & Preparedness · News & Opinion
                   Visit : http://www.patriotrising.com",1735,5,http://www.patriotrising.com,173718089482397,,,
PolitiChicks,"American politics reported by women and men activists across the U.S.

http://www.politichicks.com  ",150062,22082,http://PolitiChicks.com,174133289343084,,,
Patriots United,This is the page for proud Americans!,2544865,334254,usherald.com,1746057572287188,,,
Voices4Hillary aka Voices4America,Curated content aggregated to support the values of Hillary Clinton 2016 and to keep Democracy alive.,11594,699,Http://www.voices4hillary.com,1746239085597087,2016,,
Trump Train News,The latest breaking news about Presidential front runner Donald Trump,131105,285,http://trumptrainnews.com,1750471095167410,,,
Red Rock Tribune,The Red Rock Tribune (www.redrocktribune.com) is a conservative news and opinion website.,400893,26372,http://www.redrocktribune.com,1754194318141624,,,
Western Sentinel,Western Sentinel is a conservative news and opinion website founded by Dr. Buckley R. Arrow.,155704,9822,http://www.westernsentinel.com,1770145919930804,,,
Being Liberal,"'Being Liberal' - What does it mean to YOU?  Share with us! Join the oldest FB liberal community. Wear proudly the ""Liberal"" label, as a badge of honor! ",1674268,328369,http://www.BeingLiberal.org,177486166274,2009,11,5
Blue Democrat,The Blue Democrat is a place for Democrats to share stories and thoughts about politics that reflect progressive ideologies.,491610,28875,,1782469058666070,,,
Glenn Beck Unhinged,"A compendium of crazy/hate speech from America's #1 fear mongering tele-pundit/pastor, Glenn Beck.",949,1,http://www.GlennBeckUnhinged.com/,178739542138433,,,
American News,The official Facebook page of AmericanNews.com,5565990,226743,http://americannews.com,179035672287016,,,
American Daily Patriot,Defending patriots on a daily basis. ,132851,6538,http://americandailypatriot.com/,1810399205895315,2016,,
21st Century Wire,"""NEWS FOR THE WAKING GENERATION""",32007,951,http://www.21stcenturywire.com,182032255155419,2010,,
Vanguard of Liberty,"This is the official Facebook page of The Vanguard of Liberty. We are a political movement dedicated to promoting strong patriotic values, safety, and a sense of community.",18,0,https://vanguardofliberty.org,1827547780839216,,,
The Daily Caller,"Follow America's best source for news & entertainment.

Website: http://www.dailycaller.com/
Twitter: https://twitter.com/dailycaller",4878084,256615,http://www.dailycaller.com,182919686769,,,
My Right American,"America is the land of opportunity, let's keep it that way!",186477,20082,http://myrightamerica.com/,1829896873946966,,,
Silence is Consent,"Page launched by Independent Conservatives due to the Liberal, Lap-dog Media's refusal to cover the news. Easily offended? Leave now ...",865626,302460,http://silenceisconsent.net,183356311699411,1776,,
Faith Family America,"Let's come together to strengthen our faith, our families and our country!",5905338,721444,http://www.faithfamilyamerica.com/,184859785026060,,,
Washington Feed,Syndicated news and opinion website providing continuously updated headlines to top news and analysis sources.,58446,635,http://washingtonfeed.com/,1859989890948610,,,
Latino Rebels,"Humor, commentary, and analysis of the US Latino world. Engaging traviesos. http://latinorebels.com ",102935,5669,http://www.latinorebels.com,186457858051439,2011,2,1
PoliticusUSA,"""This site offers some of the best researched, savviest writing out there; they never fail to be on top of breaking stories.” ~~ All Things Democrat, Best Blogs of 2012",662843,70628,http://www.politicususa.com/,186473214703370,2008,,
