page_id,total_engagement.march2016,total_engagement.march2017,political_category,page_name,fan_count,growth_category
1340186812659728,,10240180.0,left,Truth Examiner,3573203,grown_left
1349936971683802,,235524.0,right,Vidmax2,137385,grown_right
1353320324694643,,2623.0,right,Political Site News,23694,grown_right
1430973860248840,,5132.0,right,Usanews-24,9487,grown_right
145008569258178,,3643.0,right,Bloody Rubbish,9539,grown_right
145380305523723,,333056.0,right,Secure America Now,3532073,grown_right
1486860644672164,,708057.0,left,Democratize US,38672,grown_left
1527239134221579,,1618132.0,left,Political Dig,646801,grown_left
153519965088704,,110872.0,right,DailyInfo,65562,grown_right
1542401046056064,,10275.0,right,Conservative Spirit,16209,grown_right
1544939742476831,,1902574.0,right,Conservative 101,2122952,grown_right
1546672678963050,,49834.0,right,Fighting For Trump,191678,grown_right
1564924110429668,,16898.0,right,U.S. Related News,65091,grown_right
157817631307424,,723348.0,right,"Red, White and Right",375277,grown_right
1598314740470404,,6297.0,right,Political Jungle,1847,grown_right
1608786116085025,,1513.0,right,Just Politcs Things,1092,grown_right
1629588830403923,,1991.0,right,Federalist Tribune,18150,grown_right
1631398857174555,,576920.0,right,Nevo News,245409,grown_right
1633304150220472,,2027348.0,right,SubjectPolitics,734390,grown_right
1641262382839336,,896072.0,left,Gone Left,434121,grown_left
1660184174273654,,24.0,right,Daily Political Newswire,526,grown_right
1672814509645693,,1896647.0,left,New Century Times,1597824,grown_left
1716514921967079,,1932996.0,right,About 2DAY,1132411,grown_right
1722398264701093,,136388.0,right,Read Conservatives,46425,grown_right
1726840707573399,,10943531.0,right,Conservative Media,2457550,grown_right
1746239085597087,,6736.0,left,Voices4Hillary aka Voices4America,11594,grown_left
1750471095167410,,5222.0,right,Trump Train News,131105,grown_right
1770145919930804,,132912.0,right,Western Sentinel,155704,grown_right
1782469058666070,,735865.0,left,Blue Democrat,491610,grown_left
1810399205895315,,121610.0,right,American Daily Patriot,132851,grown_right
1827547780839216,,0.0,right,Vanguard of Liberty,18,flat_right
1829896873946966,,131712.0,right,My Right American,186477,grown_right
1859989890948610,,101516.0,right,Washington Feed,58446,grown_right
186589878469568,,136023.0,right,American Conservative Herald,134773,grown_right
188464111175168,,360975.0,left,New Blue United,1476093,grown_left
19051993499,,1150.0,right,American Renaissance,7041,grown_right
1911476465739018,,274853.0,right,Trump Supporters,137474,grown_right
197043394037769,,37499.0,right,Conservative Republic,63133,grown_right
197579543998318,,754834.0,left,ABNC News,537036,grown_left
210081569389429,,3326.0,right,True Pundit,2844,grown_right
217722751695604,,22322.0,left,Daily Progressive,235292,grown_left
228565633877379,,567185.0,right,Wayne Dupree Show,354010,grown_right
